block,position,item_id,anchor_t,anchored
1,1,1,6.260,1
1,2,7,20.000,1
1,3,5,24.820,1
1,4,16,28.700,1
1,5,4,33.300,1
1,6,22,37.860,1
1,7,2,44.340,1
1,8,8,48.940,1
1,9,11,54.460,1
1,10,17,59.440,1
1,11,6,66.260,1
1,12,21,67.960,1
1,13,9,72.260,1
1,14,3,84.080,1
1,15,18,88.900,1
1,16,13,93.320,1
1,17,23,97.600,1
1,18,15,101.980,1
1,19,14,107.260,1
1,20,19,112.120,1
1,21,10,116.340,1
1,22,24,,0
1,23,12,140.840,1
1,24,20,148.300,1
1,25,25,153.560,1
2,1,16,160.600,1
2,2,2,165.720,1
2,3,17,170.340,1
2,4,9,174.460,1
2,5,13,178.720,1
2,6,14,182.300,1
2,7,24,186.320,1
2,8,25,191.140,1
2,9,5,194.540,1
2,10,22,203.300,1
2,11,11,207.700,1
2,12,21,211.320,1
2,13,18,214.720,1
2,14,15,218.380,1
2,15,10,220.000,1
2,16,20,,0
2,17,7,,0
2,18,4,242.680,1
2,19,8,244.860,1
2,20,6,250.340,1
2,21,3,257.120,1
2,22,23,260.280,1
2,23,19,264.480,1
2,24,12,268.120,1
2,25,1,278.560,1
3,1,3,,0
3,2,10,,0
3,3,5,303.000,1
3,4,17,306.040,1
3,5,23,310.080,1
3,6,20,313.360,1
3,7,22,316.940,1
3,8,9,320.220,1
3,9,19,329.480,1
3,10,7,334.240,1
3,11,11,337.940,1
3,12,13,342.600,1
3,13,12,345.240,1
3,14,4,354.640,1
3,15,21,358.940,1
3,16,14,362.060,1
3,17,1,365.900,1
3,18,8,384.600,1
3,19,18,393.880,1
3,20,24,,0
3,21,16,401.320,1
3,22,6,405.080,1
3,23,15,408.120,1
3,24,25,411.500,1
3,25,2,415.080,1
4,1,7,422.460,1
4,2,9,425.480,1
4,3,20,435.940,1
4,4,17,440.000,1
4,5,10,443.280,1
4,6,2,446.860,1
4,7,15,450.240,1
4,8,16,453.920,1
4,9,18,457.560,1
4,10,1,461.340,1
4,11,21,,0
4,12,12,474.460,1
4,13,11,480.000,1
4,14,19,482.980,1
4,15,22,486.900,1
4,16,23,490.420,1
4,17,5,,0
4,18,3,496.180,1
4,19,25,500.000,1
4,20,6,503.200,1
4,21,24,513.860,1
4,22,8,519.660,1
4,23,14,532.660,1
4,24,4,537.080,1
4,25,13,539.920,1
5,1,5,546.200,1
5,2,23,550.800,1
5,3,22,553.940,1
5,4,19,557.160,1
5,5,11,559.660,1
5,6,12,563.400,1
5,7,21,566.660,1
5,8,1,569.420,1
5,9,18,577.700,1
5,10,16,580.980,1
5,11,15,584.360,1
5,12,2,587.540,1
5,13,10,593.300,1
5,14,17,597.360,1
5,15,20,600.000,1
5,16,9,603.380,1
5,17,7,607.320,1
5,18,13,611.580,1
5,19,4,615.000,1
5,20,14,618.580,1
5,21,8,622.160,1
5,22,24,,0
5,23,6,,0
5,24,25,,0
5,25,3,644.680,1
