item_id,headword,frame,block,takes,passed,dur,peak_dbfs,snr_db,f0_med,wav,flag
1,óhò,A,3,4,3,0.67,-9.3,48.8,91.9,audio/work/items\item-01_óhò_b3.wav,
2,ohô,A,3,5,5,0.69,-10.1,48.0,93.4,audio/work/items\item-02_ohô_b3.wav,
3,hohô,A,1,5,4,0.66,-9.4,48.6,103.9,audio/work/items\item-03_hohô_b1.wav,
4,hóhonìt,A,2,5,5,0.55,-5.0,53.1,85.5,audio/work/items\item-04_hóhonìt_b2.wav,
5,nóè,B,4,3,3,0.7,-12.7,45.4,86.5,audio/work/items\item-05_nóè_b4.wav,
6,noê,B,3,4,4,0.46,-12.4,45.7,85.5,audio/work/items\item-06_noê_b3.wav,
7,rérèyt,C,1,4,4,0.55,-12.5,45.5,86.1,audio/work/items\item-07_rérèyt_b1.wav,
8,rékwıì,C,4,5,4,0.59,-9.8,48.2,78.7,audio/work/items\item-08_rékwıì_b4.wav,
9,récquıìś,C,2,3,2,0.92,-16.6,41.5,84.2,audio/work/items\item-09_récquıìś_b2.wav,thin:2-usable
10,réıì,C,4,4,4,0.5,-17.0,41.1,84.6,audio/work/items\item-10_réıì_b4.wav,
11,béntsıìy,C,3,4,4,0.8,-16.9,41.2,78.7,audio/work/items\item-11_béntsıìy_b3.wav,
12,béuksoè,C,4,4,4,0.93,-8.8,49.2,83.6,audio/work/items\item-12_béuksoè_b4.wav,
13,béo·ò,C,4,5,5,0.75,-15.5,42.5,83.1,audio/work/items\item-13_béo·ò_b4.wav,
14,twıítò,C,4,4,3,0.63,-10.3,47.8,83.0,audio/work/items\item-14_twıítò_b4.wav,
15,emmáwwè,D,3,4,4,0.78,-7.2,50.8,84.9,audio/work/items\item-15_emmáwwè_b3.wav,
16,benıîä,D,3,5,5,0.81,-15.0,43.0,86.3,audio/work/items\item-16_benıîä_b3.wav,
17,ossıî,D,5,5,4,0.66,-12.3,45.8,82.6,audio/work/items\item-17_ossıî_b5.wav,
18,piquô,D,3,5,5,0.73,-9.1,49.0,86.5,audio/work/items\item-18_piquô_b3.wav,
19,nobêt,D,5,4,4,0.57,-16.8,41.3,81.9,audio/work/items\item-19_nobêt_b5.wav,
20,rhiitsô,D,4,2,2,0.79,-14.1,44.0,85.0,audio/work/items\item-20_rhiitsô_b4.wav,thin:2-usable
21,ŕe,E,5,5,5,0.54,-14.5,43.5,81.8,audio/work/items\item-21_ŕe_b5.wav,
22,toś,E,4,4,3,0.47,-1.7,56.3,79.4,audio/work/items\item-22_toś_b4.wav,
23,e,E,1,3,3,0.33,-8.1,50.0,79.4,audio/work/items\item-23_e_b1.wav,
24,ŕeut,E,2,3,3,0.41,-9.8,48.3,88.9,audio/work/items\item-24_ŕeut_b2.wav,
25,pot,E,4,4,3,0.48,-11.4,46.6,95.9,audio/work/items\item-25_pot_b4.wav,
