file,gain_db,headword,in_dur,in_peak,item_id,loud_method,lufs_in,lufs_out,out_dur,out_peak
item-01_óhò_b2.wav,10.244214638793046,óhò,0.88,-17.114476794438527,1,rms,-34.244214638793046,-24.0,0.67,-6.919561807071864
item-02_ohô_b4.wav,10.158979652854079,ohô,0.79,-16.84120713542826,2,rms,-34.15897965285408,-24.0,0.59,-6.912845519531827
item-03_hohô_b1.wav,7.809727779939482,hohô,1.02,-14.151536059127716,3,rms,-31.809727779939482,-24.0,0.81,-6.830831065980382
item-04_hóhonìt_b3.wav,7.523939564863088,hóhonìt,0.9999773242630385,-9.562859681252531,4,rms,-31.52393956486309,-24.0,0.71,-2.0387737397867793
item-05_nóè_b5.wav,7.324139750308483,nóè,1.13,-9.020587730522486,5,rms,-31.324139750308483,-24.0,0.83,-1.6400082174109238
item-06_noê_b5.wav,12.023574035823138,noê,0.8099773242630386,-15.144390530039368,6,rms,-36.02357403582314,-24.0,0.69,-3.3110581364626728
item-07_rérèyt_b3.wav,9.237526246246055,rérèyt,0.82,-12.15754712322334,7,rms,-33.237526246246055,-24.0,0.73,-2.8707615308065284
item-08_rékwıì_b5.wav,10.393871355019868,rékwıì,0.69,-15.44507707022033,8,rms,-34.39387135501987,-24.0,0.69,-4.920087146483667
item-09_récquıìś_b4.wav,8.647706747996267,récquıìś,0.95,-14.029377186464924,9,rms,-32.64770674799627,-24.0,0.82,-5.125936310836874
item-10_réıì_b1.wav,10.61236479060458,réıì,0.89,-12.186609548283126,10,rms,-34.61236479060458,-24.0,0.79,-1.4072656755096884
item-11_béntsıìy_b3.wav,9.84554882489811,béntsıìy,0.8699773242630385,-14.57680924622116,11,rms,-33.84554882489811,-24.0,0.8699773242630385,-4.631483474985688
item-12_béuksoè_b1.wav,10.47515807597376,béuksoè,0.97,-12.56115431975742,12,rms,-34.47515807597376,-24.0,0.9,-4.554264066084038
item-13_béo·ò_b2.wav,8.287211453146433,béo·ò,1.05,-14.222120329597042,13,rms,-32.28721145314643,-24.0,0.93,-5.884451887514589
item-14_twıítò_b1.wav,5.8529806159831,twıítò,1.05,-10.329869889784636,14,rms,-29.8529806159831,-24.0,0.93,-4.276980297979833
item-15_emmáwwè_b1.wav,7.061725024489071,emmáwwè,1.02,-12.454865943081048,15,rms,-31.06172502448907,-24.0,0.96,-5.43050293651995
item-16_benıîä_b5.wav,11.99376011463913,benıîä,0.9399773242630386,-17.28925681152546,16,rms,-35.99376011463913,-24.0,0.9399773242630386,-5.342637319763157
item-17_ossıî_b1.wav,6.995160238128619,ossıî,1.09,-13.297299172153728,17,rms,-30.99516023812862,-24.0,1.0,-6.254869830944915
item-18_piquô_b3.wav,8.328816416057414,piquô,0.98,-13.940521597352781,18,rms,-32.328816416057414,-24.0,0.89,-5.6199841823994445
item-19_nobêt_b2.wav,8.312369905833279,nobêt,1.03,-13.972246081153656,19,rms,-32.31236990583328,-24.0,1.03,-5.750042736682839
item-20_rhiitsô_b1.wav,4.80706566159806,rhiitsô,1.2,-8.88388114556845,20,rms,-28.80706566159806,-24.0,0.94,-4.1261688475803036
item-21_ŕe_b3.wav,9.31204065026472,ŕe,0.83,-7.893572840454527,21,rms,-33.31204065026472,-24.0,0.83,-5.3816949615308864
item-22_toś_b3.wav,6.626359732184628,toś,1.04,-3.312185173475463,22,rms,-30.62635973218463,-24.0,0.82,-4.991742970028842
item-23_e_b5.wav,12.143598622524308,e,0.87,-17.79863411976161,23,rms,-36.14359862252431,-24.0,0.87,-5.94565755486792
item-24_ŕeut_b3.wav,11.376599260462498,ŕeut,1.06,-3.8060773293793266,24,rms,-35.3765992604625,-24.0,0.92,-5.689914975805216
item-25_pot_b4.wav,10.169566625120183,pot,0.85,-10.580730589884986,25,rms,-34.16956662512018,-24.0,0.85,-4.265407558515999
