block,position,item_id,headword,frame,slate_t0,slate_t1,word_t0,word_t1,dur,peak_dbfs,clipped_samples,usable,note
1,2,7,rérèyt,C,21.820,22.500,24.320,24.870,0.550,-12.5,0,1,
1,3,5,nóè,B,26.400,27.030,28.360,28.880,0.520,-11.4,0,1,
1,4,16,benıîä,D,30.500,31.120,32.980,33.650,0.670,-15.9,0,1,
1,5,4,hóhonìt,A,35.590,36.400,37.370,37.900,0.530,-11.2,0,1,
1,6,22,toś,E,39.640,42.660,43.430,43.940,0.510,0.0,641,1,slate 3.02s odd
1,7,2,ohô,A,46.280,46.960,47.860,48.540,0.680,-5.9,0,1,
1,8,8,rékwıì,C,50.540,51.020,53.470,53.710,0.240,-0.2,0,1,
1,9,11,béntsıìy,C,55.970,56.640,58.440,59.270,0.830,-10.4,0,1,
1,10,17,ossıî,D,60.820,61.510,62.720,63.190,0.470,-0.0,322,1,
1,11,6,noê,B,65.810,66.510,67.310,67.940,0.630,-10.7,0,1,interpolated|anchor: no word utterance after slate
1,12,21,ŕe,E,69.930,70.600,71.750,72.400,0.650,-10.2,0,1,
1,13,9,récquıìś,C,74.450,75.060,76.560,76.960,0.400,-0.4,0,1,
1,14,3,hohô,A,86.220,86.870,87.750,88.410,0.660,-9.4,0,1,
1,15,18,piquô,D,90.280,91.030,92.590,93.410,0.820,-8.3,0,1,
1,16,13,béo·ò,C,95.130,95.830,96.840,97.590,0.750,-7.9,0,1,
1,17,23,e,E,99.100,100.010,101.450,101.780,0.330,-8.1,0,1,
1,18,15,emmáwwè,D,104.230,105.010,105.870,106.590,0.720,-5.7,0,1,
1,19,14,twıítò,C,109.120,109.810,111.040,111.530,0.490,-0.4,0,1,
1,20,19,nobêt,D,113.080,113.890,115.220,115.720,0.500,-7.5,0,1,
1,21,10,réıì,C,117.910,118.300,119.580,120.210,0.630,-14.7,0,1,
2,1,16,benıîä,D,162.300,163.060,164.010,164.900,0.890,-11.8,0,1,
2,2,2,ohô,A,167.280,167.840,168.920,169.730,0.810,-7.5,0,1,
2,3,17,ossıî,D,171.090,171.820,173.460,174.030,0.570,-10.5,0,1,
2,4,9,récquıìś,C,175.970,176.440,177.620,178.540,0.920,-16.6,0,1,
2,5,13,béo·ò,C,179.770,180.400,181.470,182.340,0.870,-10.5,0,1,
