block,position,item_id,headword,frame,slate_t0,slate_t1,word_t0,word_t1,dur,peak_dbfs,clipped_samples,usable,note
1,1,1,óhò,A,13.770,14.510,17.040,17.530,0.490,-10.3,0,1,interpolated|trimmed 6->2|anchor: anchor 4.4s past nearest utterance
1,2,7,rérèyt,C,18.830,19.690,21.830,22.610,0.780,-8.3,0,1,
1,3,5,nóè,B,24.320,24.870,26.400,27.140,0.740,-8.6,0,1,
1,4,16,benıîä,D,28.360,28.880,30.510,31.120,0.610,-15.5,0,1,
1,5,4,hóhonìt,A,32.980,33.650,35.660,36.350,0.690,-9.2,0,1,
1,6,22,toś,E,37.320,37.920,41.670,41.810,0.140,-0.9,0,0,word 0.14s out of range
1,7,2,ohô,A,43.380,44.170,46.280,46.830,0.550,-11.2,0,1,
1,8,8,rékwıì,C,47.840,48.650,50.540,51.010,0.470,-6.7,0,1,
1,9,11,béntsıìy,C,53.130,53.880,55.860,56.640,0.780,-12.2,0,1,
1,10,17,ossıî,D,58.440,59.180,60.820,61.610,0.790,-13.3,0,1,
1,11,6,noê,B,65.810,66.510,67.310,67.940,0.630,-10.7,0,1,
1,12,21,ŕe,E,67.310,67.940,69.960,70.510,0.550,-2.4,0,1,
1,13,9,récquıìś,C,71.750,72.280,74.450,75.060,0.610,-10.8,0,1,
1,14,3,hohô,A,82.930,83.900,86.220,86.940,0.720,-14.2,0,1,
1,15,18,piquô,D,87.720,88.420,90.280,91.090,0.810,-11.3,0,1,
1,16,13,béo·ò,C,92.580,93.330,95.180,95.950,0.770,-11.2,0,1,
1,17,23,e,E,96.840,97.600,99.120,99.330,0.210,0.0,1536,1,
1,18,15,emmáwwè,D,101.450,101.790,104.230,104.950,0.720,-12.5,0,1,
1,19,14,twıítò,C,105.830,106.680,109.180,109.930,0.750,-10.3,0,1,
1,20,19,nobêt,D,110.950,112.050,113.080,113.890,0.810,-15.2,0,1,
1,21,10,réıì,C,115.200,115.740,117.810,118.400,0.590,-12.2,0,1,
1,22,24,ŕeut,E,135.370,135.840,138.370,138.580,0.210,0.0,606,1,interpolated|trimmed 8->2
