item_id,headword,frame,block,position,t0,t1,dur,peak_dbfs,rms_dbfs,snr_db,clipped,f0_med,f0_min,f0_max,f0_peak_pos,f0_centroid,voiced_frac
1,óhò,A,1,1,17.04,17.53,0.49,-10.3,-25.7,47.7,0,82.1,76.8,91.7,0.062,0.277,0.59
1,óhò,A,2,25,280.86,281.44,0.58,-17.1,-31.7,40.9,0,86.3,76.7,124.8,0.027,0.306,0.57
1,óhò,A,3,17,367.39,368.06,0.67,-12.0,-29.4,46.1,0,84.4,80.0,111.7,0.1,0.229,0.6
1,óhò,A,4,10,464.43,465.02,0.59,-10.6,-27.9,47.5,0,91.2,70.1,97.2,0.722,0.404,0.59
1,óhò,A,5,8,570.84,571.26,0.42,-19.5,-34.6,38.5,0,86.3,80.5,96.0,0.0,0.31,0.6
2,ohô,A,1,7,46.28,46.83,0.55,-11.2,-24.5,46.9,0,83.6,78.1,109.6,0.0,0.279,0.6
2,ohô,A,2,2,167.28,167.78,0.5,-9.4,-24.2,48.6,0,90.0,70.6,109.2,0.138,0.475,0.29
2,ohô,A,3,25,416.52,417.0,0.48,-17.3,-28.8,40.8,0,106.5,80.1,113.0,0.0,0.55,0.21
2,ohô,A,4,6,447.87,448.36,0.49,-16.8,-28.5,41.2,0,97.0,92.7,102.9,0.05,0.404,0.19
2,ohô,A,5,12,588.96,589.62,0.66,-19.5,-33.8,38.5,0,94.3,70.1,120.6,0.0,0.325,0.22
3,hohô,A,1,14,86.22,86.94,0.72,-14.2,-30.7,43.9,0,88.6,82.8,110.8,0.936,0.648,0.31
3,hohô,A,2,21,258.36,258.92,0.56,-13.5,-28.1,44.6,0,95.0,77.8,99.5,0.94,0.455,0.56
3,hohô,A,3,1,297.94,298.59,0.65,-17.1,-31.4,41.0,0,83.9,73.9,91.1,0.013,0.387,0.49
3,hohô,A,4,18,498.15,498.47,0.32,-15.8,-31.2,42.3,0,88.0,81.2,103.6,0.0,0.302,0.6
3,hohô,A,5,25,652.1,652.36,0.26,-27.4,-37.0,30.7,0,70.1,70.1,70.1,0.0,0.5,0.2
4,hóhonìt,A,1,5,35.66,36.35,0.69,-9.2,-23.8,48.8,0,81.7,74.5,100.2,0.0,0.43,0.42
4,hóhonìt,A,2,18,243.95,244.5,0.55,-5.0,-18.3,53.1,0,85.4,78.3,97.8,0.02,0.331,0.6
4,hóhonìt,A,3,14,356.64,357.34,0.7,-9.6,-29.3,48.5,0,88.1,85.1,94.9,0.966,0.493,0.1
4,hóhonìt,A,4,24,537.97,538.62,0.65,-11.5,-29.3,46.5,0,88.8,78.8,95.0,0.044,0.445,0.59
4,hóhonìt,A,5,19,615.82,616.88,1.06,-14.9,-32.5,43.2,0,94.7,75.1,121.9,0.0,0.298,0.21
5,nóè,B,1,3,26.4,27.14,0.74,-8.6,-28.6,49.4,0,77.8,73.4,90.3,0.056,0.399,0.4
5,nóè,B,2,9,195.51,196.44,0.93,-10.0,-31.8,48.1,0,81.8,70.1,82.7,0.984,0.656,0.16
5,nóè,B,3,3,304.27,304.95,0.68,-9.6,-31.7,48.5,0,90.8,86.2,93.6,0.0,0.192,0.05
5,nóè,B,4,17,493.61,494.28,0.67,-10.0,-29.9,48.1,0,81.1,70.7,104.0,0.0,0.391,0.49
5,nóè,B,5,1,548.43,549.26,0.83,-9.0,-31.2,49.0,0,85.7,70.1,101.7,0.977,0.58,0.09
6,noê,B,1,11,67.31,67.94,0.63,-10.7,-25.7,47.3,0,84.7,80.7,89.3,0.0,0.397,0.6
6,noê,B,2,20,254.07,254.45,0.38,-12.3,-29.6,45.8,0,103.7,82.0,106.3,0.0,0.306,0.07
6,noê,B,3,22,406.11,406.47,0.36,-10.6,-29.5,47.4,0,75.2,70.1,80.5,0.404,0.633,0.18
6,noê,B,4,20,504.11,504.68,0.57,-13.0,-33.1,45.1,0,94.9,78.7,96.0,0.742,0.552,0.17
6,noê,B,5,23,638.66,639.17,0.51,-15.1,-34.1,42.9,0,92.2,70.1,97.9,0.237,0.567,0.4
7,rérèyt,C,1,2,21.83,22.61,0.78,-8.3,-27.7,49.7,0,79.6,76.7,103.4,0.0,0.256,0.52
7,rérèyt,C,2,17,241.27,242.05,0.78,-11.4,-31.6,46.7,0,80.3,73.8,93.9,0.032,0.375,0.2
7,rérèyt,C,3,10,335.28,335.8,0.52,-12.2,-31.2,45.9,0,84.2,72.3,86.0,0.129,0.445,0.39
7,rérèyt,C,4,1,423.55,424.34,0.79,-13.2,-31.5,44.8,0,81.2,70.1,102.3,0.015,0.247,0.33
7,rérèyt,C,5,17,608.53,609.02,0.49,-14.8,-31.0,43.2,0,91.4,76.5,96.0,0.123,0.404,0.35
8,rékwıì,C,1,8,50.54,51.01,0.47,-6.7,-25.5,51.4,0,81.4,78.9,96.3,0.0,0.188,0.45
8,rékwıì,C,2,19,246.43,246.92,0.49,-11.4,-30.9,46.6,0,79.7,72.9,92.6,0.0,0.246,0.34
8,rékwıì,C,3,18,385.38,385.72,0.34,-11.0,-27.8,47.1,0,83.5,76.7,92.6,0.0,0.276,0.57
8,rékwıì,C,4,22,520.11,520.37,0.26,-17.1,-32.7,40.9,0,86.3,80.9,90.6,0.0,0.349,0.31
8,rékwıì,C,5,21,623.05,623.44,0.39,-15.4,-31.8,42.6,0,82.1,70.1,90.1,0.018,0.347,0.59
9,récquıìś,C,1,13,74.45,75.06,0.61,-10.8,-28.1,47.2,0,78.8,77.0,88.6,0.0,0.253,0.6
9,récquıìś,C,2,4,175.97,176.56,0.59,-12.9,-29.5,45.1,0,83.6,76.6,92.3,0.056,0.372,0.59
9,récquıìś,C,3,8,321.59,322.3,0.71,-16.6,-32.7,41.4,0,79.6,75.7,86.4,0.94,0.432,0.6
9,récquıìś,C,4,2,427.37,428.02,0.65,-14.0,-30.8,44.0,0,77.9,74.6,82.7,0.033,0.363,0.6
9,récquıìś,C,5,16,604.43,605.13,0.7,-13.9,-32.7,44.1,0,88.0,74.9,93.1,0.0,0.316,0.6
10,réıì,C,1,21,117.81,118.4,0.59,-12.2,-32.6,45.9,0,86.8,77.0,105.9,0.0,0.439,0.48
10,réıì,C,2,15,220.83,221.79,0.96,-8.6,-23.5,49.5,0,83.8,80.5,89.5,0.716,0.44,0.6
10,réıì,C,3,2,301.26,301.76,0.5,-14.0,-27.7,44.1,0,84.5,82.2,86.9,0.03,0.425,0.6
10,réıì,C,4,5,444.46,444.93,0.47,-14.2,-32.4,43.9,0,84.9,75.7,100.1,0.0,0.404,0.45
10,réıì,C,5,13,594.45,594.92,0.47,-17.2,-30.6,40.9,0,88.5,81.2,94.1,0.0,0.312,0.6
11,béntsıìy,C,1,9,55.86,56.64,0.78,-12.2,-27.8,45.8,0,84.8,77.2,96.1,0.0,0.354,0.6
11,béntsıìy,C,3,11,339.14,339.71,0.57,-14.6,-30.9,43.5,0,84.2,71.7,91.7,0.0,0.31,0.6
11,béntsıìy,C,4,13,480.36,481.05,0.69,-13.7,-30.2,44.4,0,90.1,77.2,119.4,0.0,0.305,0.6
11,béntsıìy,C,5,5,561.14,561.54,0.4,-13.2,-29.6,44.8,0,88.0,77.1,97.7,0.0,0.391,0.6
12,béuksoè,C,1,23,142.81,143.48,0.67,-12.6,-28.0,45.5,0,83.2,70.1,84.0,0.989,0.676,0.04
12,béuksoè,C,2,24,269.59,270.32,0.73,-7.8,-18.8,50.3,0,77.5,70.1,92.1,0.011,0.29,0.51
12,béuksoè,C,3,13,346.45,347.01,0.56,-3.7,-16.4,54.4,0,75.8,70.1,96.8,0.0,0.222,0.24
12,béuksoè,C,4,12,475.86,476.31,0.45,-11.3,-24.7,46.7,0,85.0,76.6,89.7,0.276,0.375,0.39
12,béuksoè,C,5,6,564.24,564.71,0.47,-13.1,-29.5,45.0,0,87.5,70.4,100.9,0.043,0.315,0.46
13,béo·ò,C,1,16,95.18,95.95,0.77,-11.2,-27.6,46.9,0,86.6,81.9,101.4,0.942,0.527,0.44
13,béo·ò,C,2,5,179.77,180.52,0.75,-14.2,-31.1,43.8,0,90.1,79.1,101.2,0.0,0.443,0.39
13,béo·ò,C,3,12,342.82,343.71,0.89,-13.6,-32.3,44.4,0,85.6,70.1,99.1,0.198,0.531,0.38
13,béo·ò,C,4,25,541.61,542.36,0.75,-15.5,-29.6,42.5,0,83.1,70.1,102.1,0.865,0.542,0.6
