item_id,headword,frame,block,position,t0,t1,dur,peak_dbfs,rms_dbfs,snr_db,clipped,f0_med,f0_min,f0_max,f0_peak_pos,f0_centroid,voiced_frac
1,óhò,A,2,25,282.56,283.33,0.77,-6.9,-21.7,51.2,0,91.9,72.5,95.7,0.069,0.391,0.58
1,óhò,A,3,17,369.48,370.15,0.67,-9.3,-25.6,48.8,0,91.9,71.6,99.7,0.191,0.333,0.43
1,óhò,A,4,10,470.41,471.08,0.67,-0.7,-16.2,57.3,0,98.3,82.9,106.7,0.479,0.537,0.52
1,óhò,A,5,8,571.79,572.48,0.69,-4.6,-19.2,53.5,0,91.8,81.9,105.4,0.533,0.525,0.43
2,ohô,A,1,7,47.86,48.54,0.68,-5.9,-19.1,52.1,0,83.7,74.8,104.4,0.417,0.44,0.47
2,ohô,A,2,2,168.92,169.73,0.81,-7.5,-25.2,50.6,0,99.5,79.2,129.8,0.557,0.583,0.35
2,ohô,A,3,25,417.76,418.45,0.69,-10.1,-23.9,48.0,0,93.4,62.5,121.1,0.338,0.371,0.55
2,ohô,A,4,6,449.47,450.11,0.64,-7.5,-22.6,50.6,0,98.9,76.7,128.4,0.564,0.584,0.38
2,ohô,A,5,12,590.73,591.31,0.58,-4.5,-20.3,53.6,0,112.4,81.9,126.2,0.539,0.556,0.43
3,hohô,A,1,14,87.75,88.41,0.66,-9.4,-20.5,48.6,0,103.9,76.5,113.3,0.585,0.423,0.54
3,hohô,A,2,21,259.88,260.67,0.79,-11.3,-25.5,46.8,0,92.2,69.0,106.6,0.01,0.406,0.51
3,hohô,A,3,1,297.94,298.59,0.65,-17.1,-31.4,41.0,0,83.9,74.0,91.1,0.014,0.378,0.48
3,hohô,A,4,18,499.51,500.1,0.59,-11.9,-28.2,46.2,0,100.4,74.5,105.4,0.408,0.41,0.49
3,hohô,A,5,25,652.1,652.36,0.26,-27.4,-37.0,30.7,0,64.2,56.3,64.8,0.467,0.593,0.33
4,hóhonìt,A,1,5,37.37,37.9,0.53,-11.2,-23.1,46.9,0,84.7,81.7,98.9,0.0,0.287,0.6
4,hóhonìt,A,2,18,243.95,244.5,0.55,-5.0,-18.3,53.1,0,85.5,78.8,97.8,0.02,0.322,0.6
4,hóhonìt,A,3,14,358.21,358.7,0.49,-2.2,-15.6,55.9,0,82.5,79.5,99.1,0.0,0.235,0.59
4,hóhonìt,A,4,24,537.97,538.62,0.65,-11.5,-29.3,46.5,0,88.7,78.8,95.0,0.044,0.445,0.6
4,hóhonìt,A,5,19,617.52,618.04,0.52,-10.7,-21.1,47.4,0,85.8,79.8,93.2,0.0,0.419,0.6
5,nóè,B,1,3,28.36,28.88,0.52,-11.4,-25.9,46.6,0,81.7,76.7,85.7,0.0,0.4,0.6
5,nóè,B,2,9,197.6,198.27,0.67,-9.9,-25.5,48.1,0,88.6,81.8,93.5,0.121,0.363,0.6
5,nóè,B,4,17,495.32,496.02,0.7,-12.7,-28.6,45.4,0,86.5,77.6,101.5,0.0,0.316,0.6
6,noê,B,1,11,67.31,67.94,0.63,-10.7,-25.7,47.3,0,84.7,80.7,89.3,0.0,0.397,0.6
6,noê,B,2,20,256.12,256.76,0.64,-11.6,-26.8,46.5,0,86.2,77.0,97.7,0.0,0.373,0.6
6,noê,B,3,22,407.47,407.93,0.46,-12.4,-25.4,45.7,0,85.5,77.2,91.3,0.118,0.374,0.6
6,noê,B,4,20,508.55,509.06,0.51,-13.7,-28.8,44.3,0,86.6,82.4,96.0,0.0,0.268,0.6
