lvc,aspect,person,animacy_restriction,ga_source,conlang_form,ipa,notes
GO-AHEAD,gnomic/habitual,—,animate (all persons/numbers),go ahead and,oheun,,
GO-AHEAD,gnomic/habitual,—,inanimate (3SG.INANIM only),goes ahead and,ośeun,,
GO-AHEAD,imperfect,—,—,(I'm) going ahead and,ounoheun,,Pronoun takes +be; this is the bare LVC gerund shape
GO-AHEAD,perfect,—,—,went ahead and,beųheun,,
GET-ONESELF,gnomic/habitual,I,—,get myself,remase,,
GET-ONESELF,imperfect,I,—,(I'm) getting myself,remmase,,
GET-ONESELF,perfect,I,—,got  myself,rimase,,
GET-ONESELF,gnomic/habitual,you,—,get yourself,rešise,,
GET-ONESELF,imperfect,you,—,(you're) getting yourself,renyose,,
GET-ONESELF,perfect,you,—,got yourself,rišise,,
GET-ONESELF,gnomic/habitual,they,—,get themselves,retmśe,,
GET-ONESELF,imperfect,they,—,(they're) getting themselves,retmmśe,,
GET-ONESELF,perfect,they,—,got themselves,ritmśe,,
GET-ONESELF,gnomic/habitual,we,—,get ourselves,reaśeus,,
GET-ONESELF,imperfect,we,—,(we're) getting ourselves,retnaśeus,,
GET-ONESELF,perfect,we,—,got ourselves,riaśeus,,
GET-ONESELF,gnomic/habitual,you (pl),—,get yourselves,rešiseus,,
GET-ONESELF,imperfect,you (pl),—,(you're) getting yourselves,renyoseus,,
GET-ONESELF,perfect,you (pl),—,got yourselves,rišiseus,,
GET-ONESELF,gnomic/habitual,they,—,get themselves,retmśeus,,
GET-ONESELF,imperfect,they,—,(they're) getting themselves,retmmśeus,,
GET-ONESELF,perfect,they,—,got themselves,ritmśeus,,
GET-ONESELF,gnomic/habitual,it,inanimate (3SG.INANIM only),get itself,reutse,,
GET-ONESELF,imperfect,it,inanimate (3SG.INANIM only),(it's) getting itself,retnntse,,
GET-ONESELF,perfect,it,inanimate (3SG.INANIM only),got itself,riutse,,
